dateGrouping,,nuRepos,startDates,cumAuthors,cumCommits,cumCheckers,windowAuthors,windowCommits,windowCheckers,ginisCumAuthors,ginisCumCommits,ginisWindowAuthors,ginisWindowCommits,totalLinesAddedPerPeriod,cumLinesAdded,sumOfCommit,cumCommit,uniqueAuthorNum,cumAuthorNumber,giniLoCWindow,giniLoCCum,giniCommitWindow,giniCommitCum
0,1,spring-projects/spring-framework,2008/7/1,2,105,0,2,105,0,NA,NA,NA,NA,83775,83775,105,105,2,2,0.965216353,0.965216353,0.92527443,0.92527443
1,2,spring-projects/spring-framework,2008/10/1,9,507,0,9,402,0,NA,NA,NA,NA,615281,699056,402,507,9,9,0.965247992,0.915362646,0.937687713,0.936894904
2,3,spring-projects/spring-framework,2009/1/1,14,901,0,12,394,0,NA,NA,NA,NA,141842,840898,394,901,12,14,0.75373495,0.885362846,0.893306615,0.935332429
3,4,spring-projects/spring-framework,2009/4/1,17,1447,0,15,546,0,NA,NA,NA,NA,107995,948893,546,1447,15,17,0.733377868,0.871184633,0.847969312,0.930090747
4,5,spring-projects/spring-framework,2009/7/1,19,2013,2,14,566,2,0.947368421,0.999503229,0.928571429,0.998233216,79148,1028041,566,2013,14,19,0.639808188,0.850942391,0.823333189,0.924900216
5,6,spring-projects/spring-framework,2009/10/1,21,2676,4,15,663,2,0.952380952,0.999252616,0.933333333,0.998491704,51447,1079488,663,2676,15,21,0.649747729,0.849880406,0.782914831,0.922458215
6,7,spring-projects/spring-framework,2010/1/1,22,3080,4,16,404,0,0.954545455,0.999350649,NA,NA,21201,1100689,404,3080,16,22,0.788682924,0.853794089,0.713619248,0.921007262
7,8,spring-projects/spring-framework,2010/4/1,23,3328,4,14,248,0,0.956521739,0.999399038,NA,NA,10058,1110747,248,3328,14,23,0.750661548,0.85810802,0.686593466,0.920594477
8,9,spring-projects/spring-framework,2010/7/1,23,3550,4,12,222,0,0.956521739,0.99943662,NA,NA,18049,1128796,222,3550,12,23,0.821757942,0.854437665,0.8282338,0.919975555
9,10,spring-projects/spring-framework,2010/10/1,23,3686,4,10,136,0,0.956521739,0.999457406,NA,NA,22141,1150937,136,3686,10,23,0.728176485,0.847387745,0.879450057,0.919251508
10,11,spring-projects/spring-framework,2011/1/1,24,3874,4,12,188,0,0.958333333,0.999483738,NA,NA,34734,1185671,188,3874,12,24,0.840345064,0.849007531,0.870909824,0.917813905
11,12,spring-projects/spring-framework,2011/4/1,25,4330,5,13,456,1,0.944,0.999399538,0.923076923,0.997807018,70670,1256341,456,4330,13,25,0.700054243,0.835777402,0.76380092,0.909894738
12,13,spring-projects/spring-framework,2011/7/1,25,4635,6,9,305,1,0.933333333,0.999280834,0.888888889,0.996721311,33408,1289749,305,4635,9,25,0.65185734,0.830383212,0.775398305,0.906579427
13,14,spring-projects/spring-framework,2011/10/1,25,4988,9,8,353,3,0.942222222,0.998997594,0.875,0.995278565,111702,1401451,353,4988,8,25,0.906800492,0.833261027,0.937456917,0.90909401
14,15,spring-projects/spring-framework,2012/1/1,30,5181,9,12,193,0,0.951851852,0.999034935,NA,NA,15699,1417150,193,5181,12,30,0.904649399,0.862155881,0.842922585,0.908774875
15,16,spring-projects/spring-framework,2012/4/1,42,5383,9,21,202,0,0.965608466,0.99907115,NA,NA,17500,1434650,202,5383,21,42,0.857068571,0.899812872,0.809075195,0.907726406
16,17,spring-projects/spring-framework,2012/7/1,46,5588,9,14,205,0,0.968599034,0.999105225,NA,NA,29487,1464137,205,5588,14,46,0.696189455,0.904035513,0.789597543,0.905475418
17,18,spring-projects/spring-framework,2012/10/1,56,6097,10,20,509,1,0.967857143,0.999048712,0.95,0.998035363,94929,1559066,509,6097,20,56,0.825426316,0.911065984,0.901191176,0.905362874
18,19,spring-projects/spring-framework,2013/1/1,65,6581,10,19,484,0,0.972307692,0.999118675,NA,NA,33729,1592795,484,6581,19,65,0.881457104,0.921159326,0.854393811,0.905423763
19,20,spring-projects/spring-framework,2013/4/1,67,6882,10,13,301,0,0.973134328,0.999157222,NA,NA,69915,1662710,301,6882,13,67,0.826470238,0.920272399,0.84271072,0.903141668
20,21,spring-projects/spring-framework,2013/7/1,82,7232,10,27,350,0,0.97804878,0.999198009,NA,NA,43724,1706434,350,7232,27,82,0.894087387,0.932977538,0.771332497,0.899917992
21,22,spring-projects/spring-framework,2013/10/1,85,7684,10,18,452,0,0.978823529,0.999245185,NA,NA,136690,1843124,452,7684,18,85,0.836209887,0.92821192,0.901499128,0.900070043
22,23,spring-projects/spring-framework,2014/1/1,99,8273,10,25,589,0,0.981818182,0.999298924,NA,NA,40654,1883778,589,8273,25,99,0.872365983,0.93663278,0.72843097,0.897023866
23,24,spring-projects/spring-framework,2014/4/1,110,8722,10,27,449,0,0.983636364,0.999335015,NA,NA,67298,1951076,449,8722,27,110,0.890926008,0.939055092,0.824516251,0.894531698
24,25,spring-projects/spring-framework,2014/7/1,117,9325,10,22,603,0,0.984615385,0.999378016,NA,NA,60087,2011163,603,9325,22,117,0.762403245,0.940649463,0.779629836,0.891254854
25,26,spring-projects/spring-framework,2014/10/1,126,9694,11,23,369,1,0.986291486,0.999315415,0.956521739,0.997289973,26097,2037260,369,9694,23,126,0.878139946,0.944659411,0.755641994,0.889853403
26,27,spring-projects/spring-framework,2015/1/1,139,10035,11,23,341,0,0.987573578,0.999338678,NA,NA,97805,2135065,341,10035,23,139,0.915407745,0.946074017,0.91789022,0.891070781
27,28,spring-projects/spring-framework,2015/4/1,150,10605,11,22,570,0,0.988484848,0.999374223,NA,NA,62988,2198053,570,10605,22,150,0.804727733,0.948701526,0.788013071,0.888199585
28,29,spring-projects/spring-framework,2015/7/1,159,11123,12,24,518,1,0.98951782,0.999325721,0.958333333,0.998069498,41952,2240005,518,11123,24,159,0.826998972,0.950821629,0.78210236,0.886510027
29,30,spring-projects/spring-framework,2015/10/1,170,11593,12,26,470,0,0.990196078,0.999353058,NA,NA,36395,2276400,470,11593,26,170,0.861875532,0.953209069,0.778554483,0.885033732
30,31,spring-projects/spring-framework,2016/1/1,185,12146,12,33,553,0,0.990990991,0.999382513,NA,NA,45182,2321582,553,12146,33,185,0.86014757,0.956601426,0.727613087,0.882139464
31,32,spring-projects/spring-framework,2016/4/1,197,12683,12,28,537,0,0.991539763,0.999408657,NA,NA,40598,2362180,537,12683,28,197,0.902469197,0.959227264,0.792171863,0.880859656
32,33,spring-projects/spring-framework,2016/7/1,210,13324,12,29,641,0,0.992063492,0.999437106,NA,NA,66710,2428890,641,13324,29,210,0.836708996,0.961496607,0.818119988,0.879184354
33,34,spring-projects/spring-framework,2016/10/1,221,13860,14,27,536,2,0.992889463,0.999402185,0.962962963,0.998134328,48993,2477883,536,13860,27,221,0.852917764,0.962986516,0.721344056,0.87620827
34,35,spring-projects/spring-framework,2017/1/1,240,14406,14,43,546,0,0.993452381,0.999424843,NA,NA,57939,2535822,546,14406,43,240,0.917829014,0.965837214,0.775848215,0.873950048
35,36,spring-projects/spring-framework,2017/4/1,262,14940,8173,41,534,8159,0.99348301,0.999736595,0.958391003,0.992840103,63144,2598966,534,14940,41,262,0.920436621,0.968372249,0.816882713,0.872567528
36,37,spring-projects/spring-framework,2017/7/1,277,15438,9897,33,498,1724,0.993309791,0.999564428,0.949940238,0.98868793,33242,2632208,498,15438,33,277,0.885472444,0.96991288,0.749712038,0.871210328
37,38,spring-projects/spring-framework,2017/10/1,293,15799,10004,31,361,107,0.993590277,0.999488324,0.941814893,0.947420198,33487,2665695,361,15799,31,293,0.952447218,0.971544302,0.804667815,0.870417043
38,39,spring-projects/spring-framework,2018/1/1,319,16363,10126,48,564,122,0.994047416,0.999364977,0.954576503,0.948668759,28116,2693811,564,16363,48,319,0.944803141,0.973735629,0.677501,0.868818976
39,40,spring-projects/spring-framework,2018/4/1,339,16769,10314,37,406,188,0.994227853,0.999169636,0.93387004,0.935881983,33346,2727157,406,16769,37,339,0.921349887,0.975284798,0.781807061,0.867811205
40,41,spring-projects/spring-framework,2018/7/1,364,17296,10837,41,527,523,0.994567604,0.998783808,0.957328732,0.955362618,69647,2796804,527,17296,41,364,0.923590392,0.976201557,0.845646604,0.867263927
41,42,spring-projects/spring-framework,2018/10/1,393,17647,10980,46,351,143,0.994814537,0.998618671,0.91958042,0.960133883,16881,2813685,351,17647,46,393,0.922650712,0.97787158,0.766716935,0.866979317
42,43,spring-projects/spring-framework,2019/1/1,424,18252,11301,51,605,321,0.994898389,0.998317894,0.930425753,0.968656832,77912,2891597,605,18252,51,424,0.90665212,0.978684993,0.915981879,0.868720867
43,44,spring-projects/spring-framework,2019/4/1,451,18979,11762,49,727,461,0.995028901,0.997932814,0.929656027,0.972976037,97990,2989587,727,18979,49,451,0.938889598,0.979386272,0.920583874,0.870843168
44,45,spring-projects/spring-framework,2019/7/1,479,19755,12005,49,776,243,0.995187983,0.997681692,0.922146636,0.977138221,60261,3049848,776,19755,49,479,0.907066068,0.980052993,0.863682915,0.87110208
45,46,spring-projects/spring-framework,2019/10/1,517,20141,12189,66,386,184,0.995409026,0.997513009,0.952075099,0.974966209,15537,3065385,386,20141,66,517,0.889045009,0.981089031,0.763461331,0.870945064
46,47,spring-projects/spring-framework,2020/1/1,542,20573,12272,46,432,83,0.995498107,0.997374876,0.908067051,0.96561245,16540,3081925,432,20573,46,542,0.922751579,0.981764853,0.820789088,0.871336478
47,48,spring-projects/spring-framework,2020/4/1,574,21117,12628,57,544,356,0.995505536,0.996999117,0.936822393,0.963514128,46659,3128584,544,21117,57,574,0.917171086,0.982202382,0.878592525,0.871683614
48,49,spring-projects/spring-framework,2020/7/1,581,21237,12668,18,120,40,0.995520446,0.996902141,0.891666667,0.917916667,26618,3155202,487,21604,43,595,0.909583204,0.982629388,0.849869067,0.871890582
0,50,eclipse/deeplearning4j,2019/4/1,3,8,1709,3,8,1709,0.658864833,0.870904037,0.658864833,0.870904037,2317684,2317684,248,248,15,15,0.983163365,0.983163365,0.992112058,0.992112058
1,51,eclipse/deeplearning4j,2019/7/1,17,332,2170,16,324,461,0.898454866,0.988851258,0.859680043,0.968660454,81035,2398719,271,519,22,25,0.836210691,0.98102786,0.839521377,0.987095145
2,52,eclipse/deeplearning4j,2019/10/1,30,600,2467,24,268,297,0.92353736,0.987653695,0.911195286,0.968629077,88646,2487365,201,720,23,33,0.774156861,0.975635813,0.769695305,0.979758483
3,53,eclipse/deeplearning4j,2020/1/1,37,804,2611,23,204,144,0.925398781,0.987635072,0.838768116,0.973583878,142539,2629904,240,960,26,44,0.755472397,0.969798526,0.849541053,0.972839208
4,54,eclipse/deeplearning4j,2020/4/1,44,985,2865,20,181,254,0.923250833,0.985579504,0.853543307,0.959107322,12872,2642776,40,1000,16,48,0.781075202,0.970938038,0.888479865,0.972409385
5,55,eclipse/deeplearning4j,2020/7/1,48,992,2897,7,7,32,0.926267115,0.985200555,0.857142857,0.857142857,21074,2663850,14,1014,6,50,0.964240296,0.968325513,0.974551215,0.972252585
0,56,airbnb/lottie-android,2016/7/1,1,1,0,1,1,0,0,0,0,0,14993,14993,228,228,1,1,1,1,0.712959734,0.712959734
1,57,airbnb/lottie-android,2016/10/1,2,304,4,2,303,4,0.5,0.991776316,0.5,0.991749175,10955,25948,134,362,2,2,0.918210863,0.9654694,0.889081444,0.793949501
2,58,airbnb/lottie-android,2017/1/1,21,553,46,20,249,42,0.933747412,0.985376209,0.928571429,0.973417479,17353,43301,214,576,24,25,0.972213801,0.985808642,0.871734914,0.825914333
3,59,airbnb/lottie-android,2017/4/1,31,647,82,11,94,36,0.958300551,0.973951069,0.904040404,0.90248227,5090,48391,109,685,10,34,0.98637852,0.98859793,0.789998545,0.822136831
4,60,airbnb/lottie-android,2017/7/1,35,731,112,6,84,30,0.965306122,0.977110612,0.833333333,0.976984127,2605,50996,50,735,4,36,0.96621881,0.98875318,0.850272239,0.823621685
5,61,airbnb/lottie-android,2017/10/1,40,790,145,6,59,33,0.970862069,0.977311218,0.833333333,0.960451977,10297,61293,93,828,8,42,0.987902163,0.989875898,0.839011785,0.827247839
6,62,airbnb/lottie-android,2018/1/1,47,893,164,10,103,19,0.975609756,0.973779805,0.9,0.927950945,6453,67746,79,907,8,47,0.98813398,0.990316771,0.838632002,0.828269066
7,63,airbnb/lottie-android,2018/4/1,55,934,166,13,41,2,0.979189485,0.974046077,0.923076923,0.951219512,2243,69989,54,961,15,58,0.963951341,0.990663194,0.805987601,0.827989309
8,64,airbnb/lottie-android,2018/7/1,62,1004,203,11,70,37,0.98085174,0.971095912,0.899262899,0.927027027,2049,72038,45,1006,8,63,0.974342885,0.990642483,0.837259861,0.828312393
9,65,airbnb/lottie-android,2018/10/1,69,1042,215,8,38,12,0.982271655,0.970526269,0.854166667,0.947368421,2600,74638,40,1046,7,69,0.986923077,0.99104383,0.829447732,0.827844226
10,66,airbnb/lottie-android,2019/1/1,71,1082,256,7,40,41,0.983274648,0.971103859,0.857142857,0.948170732,2879,77517,41,1087,11,75,0.93803404,0.989686656,0.721795762,0.824064019
11,67,airbnb/lottie-android,2019/4/1,79,1115,263,9,33,7,0.985031525,0.970608195,0.888888889,0.943722944,5134,82651,38,1125,6,79,0.96182314,0.989341032,0.929668664,0.830223694
12,68,airbnb/lottie-android,2019/7/1,83,1139,265,7,24,2,0.985769493,0.97069591,0.857142857,0.958333333,763,83414,23,1148,8,85,0.774199588,0.98809324,0.690218039,0.829071865
13,69,airbnb/lottie-android,2019/10/1,86,1173,276,6,34,11,0.984748905,0.969297108,0.681818182,0.906417112,2705,86119,29,1177,4,86,0.831916205,0.986816327,0.831555321,0.828799779
14,70,airbnb/lottie-android,2020/1/1,89,1190,290,4,17,14,0.984812088,0.967904955,0.714285714,0.857142857,742,86861,13,1190,4,89,0.973944295,0.987091183,0.820979335,0.828357477
15,71,airbnb/lottie-android,2020/4/1,90,1195,290,3,5,0,0.984980843,0.968039244,NA,NA,51,86912,6,1196,4,91,0.594771242,0.987285223,0.584313725,0.828609268
0,72,bazelbuild/bazel,2015/1/1,30,595,186,30,595,186,0.940860215,0.996457938,0.940860215,0.996457938,383912,383912,912,912,40,40,0.94092276,0.94092276,0.96228228,0.96228228
1,73,bazelbuild/bazel,2015/4/1,60,1526,213,56,931,27,0.957355243,0.997178791,0.931878307,0.994072483,154442,538354,896,1808,55,69,0.846229701,0.923516322,0.891549097,0.941955914
2,74,bazelbuild/bazel,2015/7/1,83,2703,272,62,1177,59,0.950035436,0.99595493,0.901312192,0.990625405,171177,709531,1291,3099,62,90,0.803357219,0.914502283,0.859551496,0.922078241
3,75,bazelbuild/bazel,2015/10/1,106,3695,329,67,992,57,0.945432127,0.994435099,0.886095837,0.985374222,94249,803780,916,4015,74,117,0.775564495,0.918750756,0.782914935,0.90609107
4,76,bazelbuild/bazel,2016/1/1,134,4818,387,81,1123,58,0.943248872,0.992987644,0.910600255,0.983541622,912318,1716098,1223,5238,78,142,0.971513123,0.944643286,0.971869088,0.941398872
5,77,bazelbuild/bazel,2016/4/1,153,6021,446,71,1203,59,0.9447815,0.991981726,0.916209119,0.984600645,131827,1847925,1197,6435,73,164,0.81326368,0.942635695,0.829635364,0.933473661
6,78,bazelbuild/bazel,2016/7/1,189,7301,524,89,1280,78,0.944525223,0.991256034,0.92048401,0.986738782,481023,2328948,1249,7684,92,195,0.926504942,0.945622008,0.940696996,0.934989442
7,79,bazelbuild/bazel,2016/10/1,210,8447,579,88,1146,55,0.941746854,0.991487918,0.935330579,0.992495637,99577,2428525,1224,8908,88,219,0.736306877,0.94356293,0.773315942,0.928443112
8,80,bazelbuild/bazel,2017/1/1,261,9908,645,110,1461,66,0.947684814,0.990779826,0.895041322,0.984070686,2844728,5273253,1424,10332,133,294,0.979062236,0.964063436,0.986252171,0.960494924
9,81,bazelbuild/bazel,2017/4/1,317,11179,694,112,1271,49,0.948099528,0.990274581,0.920736152,0.982771079,1048520,6321773,1426,11758,110,326,0.955573588,0.963585597,0.967153341,0.961585271
10,82,bazelbuild/bazel,2017/7/1,352,12771,810,125,1592,116,0.941575477,0.989501484,0.928275862,0.983332611,698560,7020333,1420,13178,120,361,0.940836467,0.960575147,0.950486379,0.960474503
11,83,bazelbuild/bazel,2017/10/1,401,13969,914,136,1198,104,0.940864469,0.988468997,0.907522624,0.976242455,141441,7161774,1233,14411,142,415,0.843268835,0.961802557,0.815532074,0.957655851
12,84,bazelbuild/bazel,2018/1/1,441,15502,1103,122,1533,189,0.93423214,0.986504768,0.875748113,0.967387665,149792,7311566,1619,16030,110,444,0.750985342,0.960598527,0.726593749,0.953065234
13,85,bazelbuild/bazel,2018/4/1,475,16992,1367,111,1490,264,0.934361067,0.985215083,0.892642643,0.971364653,2982094,10293660,1442,17472,124,485,0.981986003,0.96923764,0.983912405,0.96250693
14,86,bazelbuild/bazel,2018/7/1,506,18387,1550,122,1395,183,0.935848527,0.98420518,0.903923676,0.971142057,1196248,11489908,1373,18845,123,516,0.976684121,0.970376204,0.97461298,0.963736247
15,87,bazelbuild/bazel,2018/10/1,536,19579,1692,109,1192,142,0.936908983,0.9836757,0.856829048,0.97510398,230217,11720125,1227,20072,104,543,0.89763883,0.970827831,0.890263163,0.96231474
16,88,bazelbuild/bazel,2019/1/1,565,20989,1868,113,1410,176,0.937721476,0.983068015,0.891995173,0.974427789,301167,12021292,1431,21503,115,572,0.903675637,0.97009953,0.887222903,0.960464779
17,89,bazelbuild/bazel,2019/4/1,599,22313,2044,117,1324,176,0.941054726,0.982505131,0.922494172,0.973393299,88168,12109460,1155,22658,118,610,0.759746738,0.970831261,0.735584536,0.958871442
18,90,bazelbuild/bazel,2019/7/1,637,23362,2158,122,1049,114,0.943080619,0.98223246,0.930112166,0.976050708,87011,12196471,1040,23698,124,649,0.828046972,0.971660179,0.763116539,0.957506957
19,91,bazelbuild/bazel,2019/10/1,663,24289,2392,108,927,234,0.943586465,0.980691054,0.890471668,0.941277349,95491,12291962,977,24675,102,667,0.823373537,0.97126935,0.716723175,0.955693303
20,92,bazelbuild/bazel,2020/1/1,695,25331,2618,116,1042,226,0.944391622,0.979466727,0.882361916,0.950053505,119089,12411051,1126,25801,117,709,0.850746805,0.971536603,0.78457386,0.954071279
21,93,bazelbuild/bazel,2020/4/1,744,26534,3062,128,1203,444,0.946764185,0.978013224,0.910965653,0.944601709,273392,12684443,1020,26821,132,756,0.948837047,0.972186549,0.918216316,0.953295932
22,94,bazelbuild/bazel,2020/7/1,753,26754,3202,53,220,140,0.945900346,0.977843471,0.904043127,0.942792208,105961,12790404,970,27791,130,795,0.857911742,0.972478164,0.809883047,0.952119579
0,95,elastic/elasticsearch,2010/1/1,1,249,1,1,249,1,0,0.995983936,0,0.995983936,323183,323183,412,412,1,1,1,1,0.94994735,0.94994735
1,96,elastic/elasticsearch,2010/4/1,1,762,1,1,513,0,0,0.998687664,0,NA,78198,401381,504,916,1,1,1,1,0.845367703,0.9308336
2,97,elastic/elasticsearch,2010/7/1,3,1259,1,3,497,0,0.666666667,0.999205719,NA,NA,66455,467836,503,1419,5,5,0.994635468,0.999237981,0.785820738,0.910718373
3,98,elastic/elasticsearch,2010/10/1,6,1669,4,4,410,3,0.833333333,0.999101258,0.75,0.997560976,42079,509915,394,1813,5,7,0.989424654,0.998867785,0.822198244,0.904581552
4,99,elastic/elasticsearch,2011/1/1,12,2084,6,9,415,2,0.916666667,0.998560461,0.888888889,0.995180723,38328,548243,416,2229,11,16,0.993169484,0.998953749,0.797640782,0.89796289
5,100,elastic/elasticsearch,2011/4/1,23,2457,6,14,373,0,0.956521739,0.998778999,NA,NA,61823,610066,381,2610,15,28,0.931236872,0.995086142,0.88608966,0.896949244
6,101,elastic/elasticsearch,2011/7/1,40,2873,14,22,416,8,0.953571429,0.998508279,0.954545455,0.995793269,26451,636517,331,2941,22,42,0.954427864,0.991674355,0.786093898,0.892915203
7,102,elastic/elasticsearch,2011/10/1,54,3193,18,22,320,4,0.965020576,0.997981696,0.931818182,0.9921875,64129,700646,413,3354,22,56,0.983401017,0.988869752,0.916948196,0.895787965
8,103,elastic/elasticsearch,2012/1/1,63,3624,43,18,431,25,0.978220746,0.997555059,0.944444444,0.991554524,10219,710865,340,3694,20,65,0.930542179,0.989060643,0.815529,0.897804268
9,104,elastic/elasticsearch,2012/4/1,75,3909,46,22,285,3,0.980289855,0.997297207,0.924242424,0.989473684,40738,751603,282,3976,19,77,0.985154456,0.988459123,0.883837155,0.897019352
10,105,elastic/elasticsearch,2012/7/1,83,4140,53,16,231,7,0.982950671,0.996622915,0.9375,0.982065553,22102,773705,199,4175,14,84,0.862977941,0.987022294,0.813704414,0.894583719
11,106,elastic/elasticsearch,2012/10/1,90,4474,53,16,334,0,0.98427673,0.996875026,NA,NA,184215,957920,436,4611,18,93,0.93512887,0.980366201,0.949355504,0.905076503
12,107,elastic/elasticsearch,2013/1/1,105,4899,61,29,425,8,0.983606557,0.996536597,0.931034483,0.992352941,75478,1033398,417,5028,28,107,0.892904776,0.978559266,0.880078721,0.903186595
13,108,elastic/elasticsearch,2013/4/1,123,5465,83,31,566,22,0.987559996,0.997003935,0.967741935,0.997269515,76619,1110017,702,5730,39,129,0.786903894,0.973896867,0.839829362,0.898883326
