nuRepos,startDates,endDates,ginis,endLOCs,uniqueAuthorsFromBeginning,numAnnotationsThisWindow,numCommitsThisWindow
spring-projects/spring-framework,2009-09-07,2009-09-07,0,244720,1,2,1
spring-projects/spring-framework,2009-12-15,2009-12-15,0,253907,1,2,1
spring-projects/spring-framework,2011-06-28,2011-07-27,0,299253,2,2,2
spring-projects/spring-framework,2011-12-03,2011-12-09,0.1666666667,306474,2,3,2
spring-projects/spring-framework,2012-09-28,2012-09-28,0,326370,3,1,1
spring-projects/spring-framework,2014-11-24,2014-11-24,0,400317,3,1,1
spring-projects/spring-framework,2015-08-27,2015-08-27,0,433154,3,1,1
spring-projects/spring-framework,2016-12-18,2016-12-18,0,448428,3,2,1
spring-projects/spring-framework,2017-05-27,2017-08-24,0.9160319607,477325,9,9799,71
spring-projects/spring-framework,2017-09-01,2017-11-26,0.574168798,483758,10,184,51
spring-projects/spring-framework,2017-12-01,2018-02-28,0.3364185111,486471,12,71,35
spring-projects/spring-framework,2018-03-08,2018-06-06,0.5022070626,492556,15,178,56
spring-projects/spring-framework,2018-06-08,2018-09-05,0.6856641124,501361,18,576,87
spring-projects/spring-framework,2018-09-07,2018-12-05,0.4753143922,506247,18,113,38
spring-projects/spring-framework,2018-12-07,2019-03-07,0.6973244147,507713,22,299,38
spring-projects/spring-framework,2019-03-08,2019-06-06,0.698968352,528221,26,503,74
spring-projects/spring-framework,2019-06-11,2019-09-06,0.6107628004,553166,27,231,58
spring-projects/spring-framework,2019-09-12,2019-12-10,0.6608373079,538699,29,222,34
spring-projects/spring-framework,2019-12-12,2020-03-11,0.4940540541,541297,33,74,25
spring-projects/spring-framework,2020-03-12,2020-06-10,0.6055784179,546659,36,243,45
spring-projects/spring-framework,2020-06-11,2020-07-27,0.6333333333,555842,39,161,30
eclipse/deeplearning4j,2019-06-06,2019-09-04,0.9030835798,453816,6,2148,34
eclipse/deeplearning4j,2019-09-09,2019-12-05,0.6334943639,455509,8,270,23
eclipse/deeplearning4j,2019-12-09,2020-03-06,0.5405405405,456421,10,111,15
eclipse/deeplearning4j,2020-03-09,2020-06-05,0.6363871636,470322,14,336,23
eclipse/deeplearning4j,2020-07-26,2020-07-26,0,472382,15,32,1
airbnb/lottie-android,2016-10-10,2016-12-06,0.1666666667,3967,1,4,3
airbnb/lottie-android,2017-02-15,2017-05-09,0.4154411765,5862,4,51,16
airbnb/lottie-android,2017-05-29,2017-08-27,0.4747474747,6811,4,54,11
airbnb/lottie-android,2017-08-29,2017-08-29,0,6810,4,3,1
airbnb/lottie-android,2017-12-12,2018-03-11,0.5164835165,8949,4,52,14
airbnb/lottie-android,2018-05-07,2018-07-26,0.432,9773,4,25,5
airbnb/lottie-android,2018-08-08,2018-09-23,0.2571428571,10014,5,14,5
airbnb/lottie-android,2018-12-09,2019-03-03,0.6666666667,10240,6,50,9
airbnb/lottie-android,2019-03-10,2019-05-30,0.2962962963,12038,6,9,3
airbnb/lottie-android,2019-06-22,2019-06-22,0,12062,6,1,1
airbnb/lottie-android,2019-09-23,2019-11-30,0.3461538462,12477,8,13,6
