"","nuRepos","startDates","endDates","ginis","endLOCs","uniqueAuthors"
"1","spring-projects/spring-framework",2009-09-07,2009-09-07,0,244720,1
"2","spring-projects/spring-framework",2009-12-15,2009-12-15,0,253907,1
"3","spring-projects/spring-framework",2011-06-28,2011-07-27,0,299253,1
"4","spring-projects/spring-framework",2011-12-03,2011-12-09,0.166666666666667,306474,1
"5","spring-projects/spring-framework",2012-09-28,2012-09-28,0,326370,1
"6","spring-projects/spring-framework",2014-11-24,2014-11-24,0,400317,1
"7","spring-projects/spring-framework",2015-08-27,2015-08-27,0,433154,1
"8","spring-projects/spring-framework",2016-12-18,2016-12-18,0,448428,1
"9","spring-projects/spring-framework",2017-05-27,2017-08-24,0.916031960720338,477325,8
"10","spring-projects/spring-framework",2017-09-01,2017-11-26,0.574168797953965,483758,5
"11","spring-projects/spring-framework",2017-12-01,2018-02-28,0.3364185110664,486471,5
"12","spring-projects/spring-framework",2018-03-08,2018-06-06,0.502207062600322,492556,7
"13","spring-projects/spring-framework",2018-06-08,2018-09-05,0.685664112388251,501361,9
"14","spring-projects/spring-framework",2018-09-07,2018-12-05,0.475314392175128,506247,5
"15","spring-projects/spring-framework",2018-12-07,2019-03-07,0.697324414715719,507713,10
"16","spring-projects/spring-framework",2019-03-08,2019-06-06,0.698968352049864,528221,11
"17","spring-projects/spring-framework",2019-06-11,2019-09-06,0.610762800417973,553166,7
"18","spring-projects/spring-framework",2019-09-12,2019-12-10,0.660837307896132,538699,10
"19","spring-projects/spring-framework",2019-12-12,2020-03-11,0.494054054054054,541297,10
"20","spring-projects/spring-framework",2020-03-12,2020-06-10,0.605578417924098,546659,9
"21","spring-projects/spring-framework",2020-06-11,2020-07-27,0.633333333333333,555842,10
"22","eclipse/deeplearning4j",2019-06-06,2019-09-04,0.903083579800635,453816,6
"23","eclipse/deeplearning4j",2019-09-09,2019-12-05,0.633494363929146,455509,6
"24","eclipse/deeplearning4j",2019-12-09,2020-03-06,0.540540540540541,456421,6
"25","eclipse/deeplearning4j",2020-03-09,2020-06-05,0.636387163561076,470322,9
"26","eclipse/deeplearning4j",2020-07-26,2020-07-26,0,472382,1
"27","airbnb/lottie-android",2016-10-10,2016-12-06,0.166666666666667,3967,1
"28","airbnb/lottie-android",2017-02-15,2017-05-09,0.415441176470588,5862,4
